nombre,descripcion,sentido,unidad_medida,fecha_creacion,fecha_ult_modif,derecho_cdmx,ods,instrumento,frecuencia,dimension,fuente_inst,fuente,url_fuente,url_csv
porcentaje de unidades del servicio publico de taxi sustituidas por unidades de bajas emisiones,"porcentaje de unidades del servicio publico de taxi sustituidas por unidades de bajas emisiones.  porcentaje de unidades de taxi que se han sustituidos por unidades nuevas. estas cuentan con estandares altos de seguridad, accesibilidad y bajas emisiones contaminantes, para brindar un mejor servicio a las personas usuarias.",ascendente,porcentaje,2023-10-17 19:07:07.269317,2023-10-17 19:07:07.243525,derecho a un medio ambiente sano,accion por el clima,pim,anual,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/9c604e4c-88bf-416c-aca6-aeb14e2ac78a/resource/12ef86f5-ead7-4858-b403-0ac4a7f1c82d/download/historico-porcentaje-de-unidades-del-servicio-publico-de-taxi-sustituidas-por-unidades-de-bajas.csv
porcentaje de unidades de metrobus y rtp  con certificacion de bajas emisiones euro v o mayor,porcentaje de unidades del metrobus y rtp sustituidas por autobuses de alta capacidad y bajas emisiones con certificaciones de emisiones de acuerdo al estandar europeo  euro v o mayor.,ascendente,porcentaje,2023-10-17 19:07:30.255298,2023-10-17 19:07:30.229059,derecho a la movilidad,ciudades y comunidades sostenibles,pim,anual,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/4e9387c4-f361-4fb0-adbb-26c8d1d36b2f/resource/aae69920-1698-4e14-8e2d-e418377bdfe9/download/historico-porcentaje-de-unidades-de-metrobus-y-rtp-con-certificacion-de-bajas-emisiones-euro-v.csv
porcentaje de unidades de transporte concesionado de ruta con antigüedad mayor a 25 años con certificacion de bajas emisiones  euro v o mayor,"con el objetivo de incrementar el uso de unidades sustentables y de bajas emisiones, se debe sustituir las unidades con una antigüedad mayor a 25 años, por unidades con certificacion de bajas emisiones euro v o mayor. el indicador refleja el porcentaje de unidades que se han sustituido.",ascendente,porcentaje,2023-10-17 19:05:32.282181,2023-10-17 19:05:32.255554,derecho a la movilidad,ciudades y comunidades sostenibles,pim,anual,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/1586c530-f4e3-4410-8d28-95ccde610f15/resource/1b707d91-60e4-4e33-8ea0-80a12d782ab2/download/historico-porcentaje-de-unidades-de-transporte-concesionado-de-ruta-con-antiguedad-mayor-a-25-a.csv
porcentaje de unidades de transporte publico colectivo concesionado con antigüedad mayor a 25 años sustituidas,"porcentaje de unidades de transporte publico colectivo concesionado con antigüedad mayor a 25 años sustituidas. con el objetivo de garantizar las  las condiciones de seguridad, comodidad e higiene en las unidades del transporte publico colectivo concesionado, se deben sustituir las unidades de transporte publico colectivo concesionado con antigüedad mayor a 25 años. el indicador reporta el porcentaje de vehiculos que se han sustituido.",ascendente,porcentaje,2023-10-17 19:07:23.703884,2023-10-17 19:07:23.675483,derecho a la integridad,ciudades y comunidades sostenibles,pim,anual,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/9244fced-c0a4-4833-b031-c84e3fe53f3d/resource/63734066-b27a-4c4e-99a3-e79569142fde/download/historico-porcentaje-de-unidades-de-transporte-publico-colectivo-concesionado-con-antiguedad-ma.csv
porcentaje de vehiculos de concesionarios o permisionarios que prestan el servicio de transporte de carga con revista vehicular,"porcentaje de vehiculos de concesionarios o permisionarios que prestan el servicio de transporte de carga con revista vehicular.  los concesionarios son aquellas personas fisicas o morales  a quien la semovi dio la prestacion temporal del servicio de transporte publico de pasajeros o de carga, mediante la utilizacion de bienes del dominio publico o privado de la ciudad.",ascendente,porcentaje,2023-10-17 19:05:25.371145,2023-10-17 19:05:25.344328,derecho a la movilidad,ciudades y comunidades sostenibles,pim,no determinada,eficacia,semovi,secretaria de movilidad (semovi),https://www.semovi.cdmx.gob.mx/storage/app/media/pim-2019-2024.pdf,https://indicadores.cdmx.gob.mx/dataset/ff7393bc-ed1f-4580-86d1-a21e62b01ae8/resource/1ef0d10d-dbc2-47e9-9a24-98014998859b/download/historico-porcentaje-de-vehiculos-de-concesionarios-o-permisionarios-que-prestan-el-servicio-de.csv
porcentaje de viviendas particulares habitadas adecuadas,"porcentaje de viviendas particulares habitadas adecuadas, las cuales deben tener las siguientes caracteristicas:
1. vivienda particular de tipo: casa unica en el terreno, casa que comparte con otras, casa duplex y departamento en edificio.
2. vivienda particular con la mayor parte de las paredes o muros de abobe, tabique, ladrillo, block, piedra, cantera, cemento o concreto.
3. vivienda particular con la mayor parte del techo de losa de concreto o viguetas con bovedilla.
4. vivienda particular con piso de cemento o firme, madera, mosaico u otro recubrimiento.
5. vivienda con cuarto de cocina exclusivo.
6. vivienda particular con dos o mas cuartos, incluye cocina (no cuentan pasillos ni baños).
7. vivienda particular con luz electrica.
8. vivienda particular con agua dentro de la vivienda.
9. vivienda particular con taza de baño (excusado o sanitario) que no se comparta con otra vivienda.
10. vivienda particular con drenaje o desagüe conectado a la red publica, o a una fosa septica o tanque septico.",ascendente,porcentaje,2023-10-17 19:06:51.625683,2024-06-19 18:47:17.869364,derecho a la vivienda,ciudades y comunidades sostenibles,pgd,bienal,eficacia,inegi,encuesta nacional de ingresos y gastos de los hogares,https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/f7b1129b-1973-4e69-8ea5-913b9c2d7b1a/resource/f11a03db-e450-457f-88ab-34ddecd4bcc8/download/historico-porcentaje-de-viviendas-particulares-habitadas-adecuadas.csv
porcentaje de viviendas particulares habitadas que cuentan con servicio de drenaje,"porcentaje de viviendas particulares habitadas que cuentan con servicio de drenaje o desagüe, respecto del total de viviendas particulares habitadas.",ascendente,porcentaje,2023-10-17 19:06:54.741231,2023-12-08 09:52:39.758894,derecho a la vivienda,"industria, innovacion e infraestructura",pgd,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/f038f448-ce8b-4566-b4a8-67d7c5fd067e/resource/dc13e5e8-d2cb-4774-9fe8-70904806a688/download/historico-porcentaje-de-viviendas-particulares-habitadas-que-cuentan-con-servicio-de-drenaje-o-.csv
porcentaje de viviendas particulares habitadas que cuentan con servicio de energia electrica,"porcentaje de viviendas que cuentan con servicio de energia electrica, respecto del total de viviendas particulares habitadas.",ascendente,porcentaje,2023-10-17 19:05:21.413629,2023-12-08 10:07:18.211015,derecho a la vivienda,"industria, innovacion e infraestructura",pgd,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/d6b9a8b0-8c87-4f75-958f-9fa389672c53/resource/163914c1-3ad6-4dcb-8ab7-4204eae3664c/download/historico-porcentaje-de-viviendas-particulares-habitadas-que-cuentan-con-servicio-de-energia-el.csv
porcentaje de viviendas particulares habitadas que cuentan con servicio de recoleccion de basura,"porcentaje de viviendas particulares habitadas que cuentan con servicio de recoleccion de basura, respecto del total de viviendas particulares habitadas.",ascendente,porcentaje,2023-10-17 19:06:02.263589,2023-12-08 10:02:44.464272,derecho a la vivienda,"industria, innovacion e infraestructura",pgd,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/83845010-4395-4dcf-835e-9053611716d2/resource/b6b59362-3144-4a77-84e2-fb565ece20dd/download/historico-porcentaje-de-viviendas-particulares-habitadas-que-cuentan-con-servicio-de-recoleccio.csv
porcentaje de viviendas propias,"este indicador muestra el porcentaje de las viviendas de la ciudad de mexico que son propias o que son propias y se estan pagando, respecto del total de las viviendas de la ciudad.",,porcentaje,2024-06-20 23:49:12.040058,2024-06-21 16:09:12.759471,derecho a la vivienda,reduccion de las desigualdades,visor cdmx,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/286c40b8-1aac-4099-9df6-7d5184fd5a6c/resource/c6636f97-c46b-4b74-aa24-8c2a2e2ad271/download/historico-porcentaje-de-la-vivienda-que-es-propia.csv
porcentaje de viviendas que cuentan con servicio diario de agua entubada,porcentaje de viviendas particulares habitadas que cuentan con servicio diario de agua entubada; dentro de la vivienda y dentro del terreno.,ascendente,porcentaje,2023-10-17 19:05:39.183200,2024-06-18 17:35:01.938740,derecho al agua y a su saneamiento,agua limpia y saneamiento,pgd,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/a8d75e3e-9679-4cad-9e42-e65e5e8fb14c/resource/f462029e-b7fb-49ba-9284-e70fb3e0bb37/download/historico-porcentaje-de-viviendas-particulares-habitadas-que-cuentan-con-servicio-de-agua-potab.csv
porcentaje de viviendas que disponen de biodigestor,porcentaje de viviendas que disponen de biodigestor respecto del total de vivienda particular habitada.,ascendente,porcentaje,2023-10-17 19:05:36.846782,2023-12-08 09:21:39.084812,derecho al desarrollo sustentable,ciudades y comunidades sostenibles,pgd,bienal,eficacia,inegi,"inegi, encuesta nacional de ingresos y gastos de los hogares (enigh)",https://www.inegi.org.mx/programas/enigh/nc/2022/,https://indicadores.cdmx.gob.mx/dataset/de85fb71-47df-4b93-8382-0e69588488c1/resource/7b34db6a-d177-47be-ae0a-4c48baf35eb1/download/historico-porcentaje-de-viviendas-que-disponen-de-biodigestor.csv
porcentaje de viviendas que reciclan la basura,"porcentaje de viviendas que reciclan la basura (separan carton, latas o plastico para vender o regalar).",ascendente,porcentaje,2023-10-17 19:06:16.301610,2023-10-17 19:06:16.275439,derecho a un medio ambiente sano,ciudades y comunidades sostenibles,pgd,quinquenal,eficacia,inegi,"inegi, muestra censal",https://www.inegi.org.mx/programas/ccpv/2020/#microdatos,https://indicadores.cdmx.gob.mx/dataset/efdcc229-8230-4fa4-98a8-d3e44acb1902/resource/1a8a8932-6945-4572-ab8d-12dc527a2797/download/historico-porcentaje-de-viviendas-que-reciclan-la-basura.csv
porcentaje que representa el suelo de conservacion,porcentaje de la superficie del suelo de conservacion respecto del total de la superficie de la cdmx.,estable,porcentaje,2023-10-17 19:06:09.402152,2024-05-20 18:14:35.203522,derecho al desarrollo sustentable,vida de ecosistemas terrestres,pgd,anual,eficacia,sedema,"sedema, suelo urbano y suelo de conservacion",https://paot.org.mx/centro/programas/pgoedf.pdf,https://indicadores.cdmx.gob.mx/dataset/d0bacc02-b7a8-4623-99ef-26cdf66b26d3/resource/802ef748-5341-4eda-b05b-309f22a27204/download/historico-porcentaje-que-representa-el-suelo-de-conservacion.csv
prevalencia de anemia en poblacion adulta,porcentaje de la poblacion adulta que padece anemia.,descendente,porcentaje,2023-10-17 19:05:22.339359,2024-09-03 23:13:20.550102,derecho a la salud,salud y bienestar,pgd,bienal,eficacia,insp,encuesta nacional de salud y nutricion,https://ensanut.insp.mx/encuestas/ensanut2018/descargas.php,https://indicadores.cdmx.gob.mx/dataset/6d8f9aba-7665-4510-b6da-247f93bf2282/resource/3f30f0f3-4a90-4381-a7cf-5f4fa931d509/download/historico-prevalencia-de-anemia-en-poblacion-adulta.csv
prevalencia de obesidad en poblacion adulta,porcentaje de la poblacion adulta que padece obesidad.,descendente,porcentaje,2023-10-17 19:07:02.316956,2024-09-04 23:50:18.332945,derecho a la salud,salud y bienestar,pgd,anual,eficacia,insp,ensanut,https://ensanut.insp.mx/encuestas/ensanut2018/descargas.php,https://indicadores.cdmx.gob.mx/dataset/02b15b9f-512d-4c7c-9709-3fd129e3e70e/resource/255114e6-a6f8-42d6-841c-d4960350abe8/download/historico-prevalencia-de-obesidad-en-poblacion-adulta..csv
prevalencia de violencia contra las mujeres,"porcentaje de mujeres de 15 años y mas que a lo largo de su vida han sufrido al menos un incidente de violencia emocional, economica, fisica,  sexual o discriminacion.",descendente,porcentaje,2023-10-17 19:06:50.473099,2023-10-17 19:06:50.447373,derecho a una vida libre de todo tipo de violencia o discriminacion,"paz, justicia e instituciones solidas",pgd,quinquenal,eficacia,inegi,"inegi, encuesta nacional sobre la dinamica de las relaciones en los hogares (endireh)",https://www.inegi.org.mx/programas/endireh/2021/,https://indicadores.cdmx.gob.mx/dataset/6d52c7cd-f2ef-4658-85ca-62fbdcaef092/resource/f9634672-f295-4c96-8dd2-827d3677ef3c/download/historico-prevalencia-de-violencia-contra-las-mujeres.csv
promedio de horas a la semana que destina la poblacion a realizar actividades fisicas,promedio de horas que destina la poblacion a realizar actividades fisicas a la semana.,ascendente,horas,2023-10-17 19:06:31.205926,2024-07-03 21:22:57.172961,derecho a la salud,salud y bienestar,pgd,quinquenal,eficacia,inegi,enut,https://www.inegi.org.mx/programas/enut/2019/#microdatos,https://indicadores.cdmx.gob.mx/dataset/bdc9967f-045c-4962-a6d2-138515fe7008/resource/7b119368-aafb-4eef-be30-13ac65650845/download/historico-promedio-de-horas-y-minutos-a-la-semana-que-destina-la-poblacion-a-realizar-actividad.csv
promedio del igot de sujetos obligados de la cdmx,promedio del igot (indice global de cumplimiento a las obligaciones de transparencia) del total de sujetos obligados de la cdmx.,ascendente,indice porcentual,2023-10-17 19:08:09.635291,2024-04-30 23:42:07.987480,derecho a la informacion,"paz, justicia e instituciones solidas",pgd,anual,calidad,info cdmx,evaluacion cdmx,https://infocdmx.org.mx/evaluacioncdmx/evaluaciones.php,https://indicadores.cdmx.gob.mx/dataset/815affea-b4de-4624-ac22-bddca5e45b16/resource/559755bb-a25d-4a38-a46c-aa22d2d2cbd3/download/metas-promedio-del-igot-de-sujetos-obligados-de-la-cdmx.csv
proporcion de los residuos de la construccion que se reciclan,porcentaje de residuos de la construccion (demolicion y excavacion) que se reciclan.,ascendente,porcentaje,2023-10-17 19:06:18.437048,2024-09-03 17:26:07.612439,derecho al desarrollo sustentable,produccion y consumo responsables,pgd,anual,eficacia,gob cdmx,"gob cdmx, sexto informe de gobierno",https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/c865d39f-55db-44ee-a7be-588512fc474d/resource/d208908b-b0a9-4033-b2bc-87d2b787a838/download/historico-proporcion-de-los-residuos-de-la-construccion-que-se-reciclan.csv
proyectos apoyados por la cdmx en materia de divulgacion de la ciencia,porcentaje de proyectos apoyados por la cdmx en materia de divulgacion de la ciencia,ascendente,porcentaje,2023-10-17 19:05:50.184221,2023-10-17 19:05:50.157442,derecho a la ciencia y a la innovacion tecnologica,educacion de calidad,pdcti,no determinada,eficacia,sectei,sectei,https://www.sectei.cdmx.gob.mx/,https://indicadores.cdmx.gob.mx/dataset/72c78fcc-1157-4f51-b383-291e049578e5/resource/bde4e771-c574-4304-a06e-08347e893a6f/download/historico-proyectos-apoyados-por-la-cdmx-en-materia-de-divulgacion-de-la-ciencia.csv
numero de proyectos del programa mejoramiento barrial y comunitario para el bienestar,"total de proyectos del programa mejoramiento barrial y comunitario para el bienestar ejecutados en las 16 alcaldias por ejercicio fiscal, los cuales consisten en senderos seguros, culturales, recreativos, mejormiento de fachadas, entorno a pilares y de mantenimiento de equipamiento comunitario.",ascendente,numero,2023-10-17 19:07:29.886079,2024-09-03 16:54:58.452146,derecho a la seguridad ciudadana y a la prevencion de la violencia y del delito,"paz, justicia e instituciones solidas",pgd,anual,eficacia,gob cdmx,sexto informe de gobierno cdmx,https://informedegobierno.cdmx.gob.mx/documentos/,https://indicadores.cdmx.gob.mx/dataset/f2c65875-659a-4153-8dc1-eec29d1f59f1/resource/6fcd16fe-8ee0-4c76-b163-792d06ce6b5f/download/historico-numero-de-proyectos-del-programa-mejoramiento-barrial-y-comunitario-para-el-bienestar.csv
pruebas de tamizaje realizadas en los centros de atencion primaria en adicciones,total de pruebas de tamizaje realizadas en los centros de atencion primaria en adicciones (capa).,ascendente,numero,2023-10-17 19:06:10.296126,2024-09-20 17:59:50.192619,derecho a la salud,salud y bienestar,pgd,anual,eficacia,conadic,conadic,https://datos.gob.mx/busca/dataset/adolescentes-de-12-a-17-anos-en-actividades-de-prevencion-en-los-centros-de-atencion-primaria-e,https://indicadores.cdmx.gob.mx/dataset/123731ca-5d2f-46f8-b5cf-85598e909f93/resource/2a42855d-8423-4b74-919a-001c154f4d73/download/historico-pruebas-de-tamizaje-realizadas-en-los-centros-de-atencion-primaria-en-adicciones.csv
recursos humanos en seguridad publica,personas trabajadoras en servicios de seguridad publica en la ciudad de mexico.,ascendente,numero,2023-10-19 18:36:30.647970,2024-05-29 20:01:04.836199,derecho a la seguridad ciudadana y a la prevencion de la violencia y del delito,"paz, justicia e instituciones solidas",visor cdmx,anual,,inegi,"censo nacional de gobierno, seguridad publica y sistema penitenciario estatales",https://www.inegi.org.mx/programas/cngspspe/2020/,https://indicadores.cdmx.gob.mx/dataset/89ef113f-c985-437f-9b89-61e49de7eb4d/resource/3488782a-5f5b-469c-a5ee-09db2c967444/download/historico-visor-recursos-humanos-en-seguridad-publica.csv
remesas en azcapotzalco,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 22:36:37.460343,2025-04-01 17:52:48.062034,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/c74f34b6-7705-40b6-ac9d-3ad3a7117a40/resource/970f3085-3378-45fe-aa0c-ea363c9dfb48/download/historico-remesas-2.csv
remesas en benito juarez,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:55:16.325917,2025-04-01 19:40:38.138713,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/734103f4-43ab-4ce8-9ce8-82c7842089c0/resource/42a5a58a-89ec-4aba-9ca9-ef2108d50339/download/historico-remesas-14.csv
remesas en cuajimalpa,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:11:25.726893,2025-04-01 17:43:44.124876,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/8a66301a-bea4-4bf7-8f39-498c5a90e4b2/resource/d16ca4f8-b5e9-4aec-96b9-3b6b0106347d/download/historico-remesas-4.csv
remesas en alvaro obregon,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:40:39.344172,2025-04-01 23:51:15.838968,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/f62a8f53-3485-4442-9b56-7f89a9bff910/resource/ed1fdc4c-0fa6-4bcc-8d5b-9ca3a9c833e3/download/historico-remesas-10.csv
remesas en coyoacan,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:04:48.179354,2025-04-01 23:28:35.798546,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/c783e56c-d86f-4d8c-b296-e5dacff254b8/resource/62cf6e81-a7a8-4073-bb91-bbbc4058c29d/download/historico-remesas-3.csv
remesas en cuauhtemoc,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-31 15:52:42.599475,2025-04-01 19:32:13.514345,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/dd72fd38-bf92-46bb-827c-1d04c60eb07a/resource/f52689b3-be80-409d-9327-7077d2c90c8e/download/historico-remesas-15.csv
remesas en gustavo a. madero,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:15:53.209377,2025-04-02 00:00:32.143846,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/22d934ed-d7b6-4053-b8da-0e51144d6401/resource/da3eec90-e7e1-45c8-aa6a-26b4253cc0ff/download/historico-remesas-5.csv
remesas en iztacalco,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:20:01.129186,2025-04-01 23:16:56.705501,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/febb17fc-666f-430a-8477-894d17611b0e/resource/7b64d60c-3305-4781-86ca-33fad39a2698/download/historico-remesas-6.csv
remesas en iztapalapa,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:24:14.079867,2025-04-01 23:09:28.613293,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/334fd1da-a2e7-4019-ae0e-d8bc97a746d3/resource/94573011-9f7e-4efd-b0b5-da65d8e82fae/download/historico-remesas-7.csv
remesas en magdalena contreras,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:32:35.776316,2025-04-01 23:03:10.758605,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/37ff4b51-41c3-4eb3-b0c1-6f18085a9ae5/resource/859e6716-df1a-4d98-aea7-254a03fbda6e/download/historico-remesas-8.csv
remesas en miguel hidalgo,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-31 15:57:35.025687,2025-04-01 19:13:41.316573,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/84458b33-3229-4901-b7ad-74b1efbf7e78/resource/77ad1f76-e245-4255-af5e-861d559748fe/download/historico-remesas-16.csv
remesas en milpa alta,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:36:50.451958,2025-04-01 22:44:25.583376,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico","https://www.economia.gob.mx/api/data.jsonrecords?municipality=9009&cube=banxico_mun_income_remittances&drilldowns=municipality,quarter&measures=remittance amount&locale=es",https://indicadores.cdmx.gob.mx/dataset/0999430b-b38a-40f5-b328-0f6fdd358377/resource/cfbfc3d6-7c91-4215-a10b-341f6f1c3240/download/historico-remesas-9.csv
remesas en tlahuac,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:43:49.591278,2025-04-01 23:43:11.328354,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/5d79a4b2-8e17-4618-82c4-846c4bdf61bc/resource/f181171f-595c-40b6-947d-ce77998b411a/download/historico-remesas-11.csv
remesas en tlalpan,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:46:54.301338,2025-04-01 22:34:01.944462,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/3015fad2-bad9-4c24-ab93-f1c0de44b0bf/resource/f78d6660-41f9-4fa7-9eac-f6feb2ac573c/download/historico-remesas-12.csv
remesas en venustiano carranza,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-31 16:00:44.879245,2025-04-01 18:57:34.485144,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/24e652a3-ff32-42ea-b1d8-be5f1f1a52b7/resource/d9c6512f-613b-4833-9d38-3f051a67b146/download/historico-remesas-17.csv
remesas en xochimilco,informacion trimestral relativa a ingresos por remesas familiares en millones de dolares.,ascendente,millones de dolares,2024-07-30 23:50:44.673314,2025-04-01 19:49:22.227297,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,trimestral,eficacia,banxico,"sistema de informacion economica, banxico",https://www.banxico.org.mx/sieinternet/consultardirectoriointernetaction.do?accion=consultarcuadro&idcuadro=ce166&sector=1&locale=es,https://indicadores.cdmx.gob.mx/dataset/cea693a1-aade-4481-8a09-971ca55e05d5/resource/a34ddce1-d35f-4768-a337-66afe7c84bf3/download/historico-remesas-13.csv
